condition_A,condition_B,mean_A,mean_B,mean_diff (A-B),t_stat,p_value,sig_at_0.05,sig_after_Bonferroni
RN50_full,RN50_roi,0.871573404719047,0.7379519430387018,0.13362146168034528,7.947984679774283,0.0013571432706804307,yes,yes
RN50_full,CBAM_full,0.871573404719047,0.756687056976318,0.11488634774272902,3.8910669991363607,0.017674624974395838,yes,no
RN50_full,CBAM_roi,0.871573404719047,0.7006839940802563,0.17088941063879065,12.992057499652631,0.00020252490388457397,yes,yes
RN50_full,ViT_full,0.871573404719047,0.8324975216923614,0.03907588302668576,1.7436014806360192,0.15617931056603518,no,no
RN50_full,ViT_roi,0.871573404719047,0.6383535823222733,0.2332198223967737,5.3201146124460275,0.006005100653005386,yes,no
RN50_roi,CBAM_full,0.7379519430387018,0.756687056976318,-0.018735113937616267,-0.4372906139422192,0.6844737886307283,no,no
RN50_roi,CBAM_roi,0.7379519430387018,0.7006839940802563,0.03726794895844539,1.5944540283002717,0.18606085443469375,no,no
RN50_roi,ViT_full,0.7379519430387018,0.8324975216923614,-0.0945455786536595,-2.488396260617162,0.06760037389868398,no,no
RN50_roi,ViT_roi,0.7379519430387018,0.6383535823222733,0.0995983607164284,1.8373848635998704,0.14002251894505874,no,no
CBAM_full,CBAM_roi,0.756687056976318,0.7006839940802563,0.05600306289606165,1.618885621636256,0.1807838965150489,no,no
CBAM_full,ViT_full,0.756687056976318,0.8324975216923614,-0.07581046471604325,-2.4887397837277283,0.06757551881358533,no,no
CBAM_full,ViT_roi,0.756687056976318,0.6383535823222733,0.11833347465404467,2.5853798723817953,0.06098025836389,no,no
CBAM_roi,ViT_full,0.7006839940802563,0.8324975216923614,-0.1318135276121049,-5.982374053591059,0.003924618400331318,yes,no
CBAM_roi,ViT_roi,0.7006839940802563,0.6383535823222733,0.06233041175798302,1.530630411899668,0.20060918816681536,no,no
ViT_full,ViT_roi,0.8324975216923614,0.6383535823222733,0.19414393937008792,4.304465039909231,0.012601039291380687,yes,no
