metric,A,B,n_pairs,mean_A,mean_B,mean_diff,t_stat,p_value,sig_uncorrected,sig_bonferroni
accuracy,RN50_full,RN50_roi,15,0.7367454627839571,0.7136171156864286,0.023128347097528333,1.6966005197103562,0.1118833821895567,no,no
accuracy,RN50_full,CBAM_full,15,0.7367454627839571,0.683765806540063,0.05297965624389396,4.932050921541776,0.0002207014581006447,yes,yes
accuracy,RN50_full,CBAM_roi,15,0.7367454627839571,0.675742455165748,0.06100300761820901,4.894755850499004,0.0002366020613629146,yes,yes
accuracy,RN50_full,ViT_full,15,0.7367454627839571,0.7087928353641367,0.027952627419820335,2.507617868759088,0.02509449878916077,yes,no
accuracy,RN50_full,ViT_roi,15,0.7367454627839571,0.6885187549691613,0.048226707814795745,3.72305439681933,0.0022712762709721323,yes,yes
accuracy,RN50_roi,CBAM_full,15,0.7136171156864286,0.683765806540063,0.029851309146365624,2.3172749338027367,0.03614557953749103,yes,no
accuracy,RN50_roi,CBAM_roi,15,0.7136171156864286,0.675742455165748,0.03787466052068068,3.5348972221857387,0.003298397047126866,yes,yes
accuracy,RN50_roi,ViT_full,15,0.7136171156864286,0.7087928353641367,0.004824280322292,0.42628479664188845,0.6763819195795896,no,no
accuracy,RN50_roi,ViT_roi,15,0.7136171156864286,0.6885187549691613,0.02509836071726741,2.1479072019892342,0.049710372601547724,yes,no
accuracy,CBAM_full,CBAM_roi,15,0.683765806540063,0.675742455165748,0.008023351374315054,0.7236966566730616,0.48117031490096296,no,no
accuracy,CBAM_full,ViT_full,15,0.683765806540063,0.7087928353641367,-0.025027028824073625,-3.0366446868261523,0.00888206768760582,yes,no
accuracy,CBAM_full,ViT_roi,15,0.683765806540063,0.6885187549691613,-0.0047529484290982135,-0.31083498504761,0.7605058295236297,no,no
accuracy,CBAM_roi,ViT_full,15,0.675742455165748,0.7087928353641367,-0.03305038019838868,-3.093092336381712,0.007940589824118438,yes,no
accuracy,CBAM_roi,ViT_roi,15,0.675742455165748,0.6885187549691613,-0.012776299803413268,-1.1687551945958619,0.26201883854227653,no,no
accuracy,ViT_full,ViT_roi,15,0.7087928353641367,0.6885187549691613,0.02027408039497541,1.4443937471927566,0.17063506326616618,no,no
macro_f1,RN50_full,RN50_roi,15,0.711903704826158,0.6996546156631247,0.012249089163033222,0.8265402560784613,0.4223614272625336,no,no
macro_f1,RN50_full,CBAM_full,15,0.711903704826158,0.6455493830746831,0.06635432175147489,5.208919831829543,0.00013240899989397291,yes,yes
macro_f1,RN50_full,CBAM_roi,15,0.711903704826158,0.6597855403775187,0.0521181644486393,3.8257791614445793,0.0018540306781307384,yes,yes
macro_f1,RN50_full,ViT_full,15,0.711903704826158,0.6792194279802316,0.03268427684592632,3.121981895935762,0.007497714754265877,yes,no
macro_f1,RN50_full,ViT_roi,15,0.711903704826158,0.6623824332134777,0.04952127161268029,2.8559838397544595,0.012699138382161745,yes,no
macro_f1,RN50_roi,CBAM_full,15,0.6996546156631247,0.6455493830746831,0.054105232588441673,3.263232408691855,0.005661675618994977,yes,no
macro_f1,RN50_roi,CBAM_roi,15,0.6996546156631247,0.6597855403775187,0.039869075285606084,3.6809039643568098,0.00246894484605105,yes,yes
macro_f1,RN50_roi,ViT_full,15,0.6996546156631247,0.6792194279802316,0.020435187682893097,1.6139686185652067,0.12883991862553393,no,no
macro_f1,RN50_roi,ViT_roi,15,0.6996546156631247,0.6623824332134777,0.037272182449647064,2.5964023594349848,0.02112471190838086,yes,no
macro_f1,CBAM_full,CBAM_roi,15,0.6455493830746831,0.6597855403775187,-0.014236157302835587,-0.9423294231923494,0.36200185092469467,no,no
macro_f1,CBAM_full,ViT_full,15,0.6455493830746831,0.6792194279802316,-0.03367004490554857,-4.201224582283959,0.0008884252600716925,yes,yes
macro_f1,CBAM_full,ViT_roi,15,0.6455493830746831,0.6623824332134777,-0.016833050138794603,-0.7709926131103482,0.453527578689848,no,no
macro_f1,CBAM_roi,ViT_full,15,0.6597855403775187,0.6792194279802316,-0.019433887602712984,-1.5203785938134433,0.15067548671999084,no,no
macro_f1,CBAM_roi,ViT_roi,15,0.6597855403775187,0.6623824332134777,-0.0025968928359590155,-0.21251207809513054,0.8347706373640149,no,no
macro_f1,ViT_full,ViT_roi,15,0.6792194279802316,0.6623824332134777,0.01683699476675397,0.8937606847890669,0.38655666816130674,no,no
macro_auc,RN50_full,RN50_roi,15,0.9099089466786994,0.902305520622222,0.007603426056477259,0.8736503565304994,0.3970473961462834,no,no
macro_auc,RN50_full,CBAM_full,15,0.9099089466786994,0.8834554839559294,0.026453462722769952,4.132563113384821,0.0010155047379323788,yes,yes
macro_auc,RN50_full,CBAM_roi,15,0.9099089466786994,0.8960320139551355,0.013876932723563828,1.7978064433411771,0.09380173452875602,no,no
macro_auc,RN50_full,ViT_full,15,0.9099089466786994,0.8922865174951423,0.01762242918355717,2.3649904822651733,0.03300605765403781,yes,no
macro_auc,RN50_full,ViT_roi,15,0.9099089466786994,0.9083923055685604,0.001516641110138798,0.1651969942607385,0.8711505893566056,no,no
macro_auc,RN50_roi,CBAM_full,15,0.902305520622222,0.8834554839559294,0.018850036666292695,2.8437897395670086,0.013008274272349688,yes,no
