condition,level,n_units,accuracy,macro_f1,macro_auc,f1_Normal,f1_Cyst,f1_Tumor,f1_Stone
v2_run1,slice,8924,0.735992828328104,0.7158402626777731,0.9148895840439596,0.6982794796475031,0.48260013131976365,0.8113458413355,0.8711355984083257
v2_run1,patient_max_priority,561,0.8484848484848485,0.8077690532212357,0.9400296106498847,0.8275862068965517,0.6344827586206897,0.9049295774647887,0.8640776699029126
v2_roi_run1,slice,6185,0.7172190784155215,0.7070457163803556,0.8957820393590427,0.6463104325699746,0.6194690265486725,0.8235294117647058,0.7388739946380697
v2_roi_run1,patient_max_priority,480,0.8520833333333333,0.792737123608414,0.9652260611771465,0.6610169491525424,0.7236842105263158,0.9291044776119403,0.8571428571428571
cbam_full_run1,slice,8924,0.6892649036306588,0.6501456041202118,0.8891522215667556,0.5961917268548916,0.44573643410852715,0.8014078787058345,0.7572463768115942
cbam_full_run1,patient_max_priority,561,0.7932263814616756,0.710661777240404,0.9076430805157054,0.7165775401069518,0.4628099173553719,0.8926174496644296,0.7706422018348624
cbam_roi_run1,slice,6185,0.6641875505254649,0.6506196323767078,0.8840808501802004,0.5203703703703704,0.5750943396226416,0.8081501831501832,0.6988636363636364
cbam_roi_run1,patient_max_priority,480,0.8125,0.706952030475068,0.9461322738231877,0.4166666666666667,0.7058823529411765,0.9236499068901304,0.7816091954022989
vit_full_run1,slice,8924,0.7167189601075751,0.6995570081897092,0.8764835503016459,0.68303946263644,0.48662259993704754,0.7945764688730136,0.833989501312336
vit_full_run1,patient_max_priority,561,0.82174688057041,0.7771477395051813,0.9315255986446646,0.7906976744186046,0.6329113924050633,0.899641577060932,0.7853403141361257
vit_roi_run1,slice,6185,0.686176232821342,0.6701832015538245,0.8913392882066874,0.5964360587002097,0.5889915628766573,0.8320111992533831,0.6632939853850478
vit_roi_run1,patient_max_priority,480,0.8125,0.7290264033945045,0.9526585183745743,0.5285714285714286,0.6524822695035462,0.9323308270676691,0.8027210884353742
