condition,level,n_units,accuracy,macro_f1,macro_auc,f1_Normal,f1_Cyst,f1_Tumor,f1_Stone
v3c_rn50_baseline_seed42,slice,8924,0.7545943523083819,0.7398776513273811,0.9265665530938997,0.7210406772661574,0.5148123765635286,0.8145666423889294,0.9090909090909091
v3c_rn50_baseline_seed42,patient_max_priority,561,0.8502673796791443,0.8211250188162401,0.9474900372588277,0.8921568627450981,0.5911949685534591,0.8848920863309353,0.916256157635468
v3c_roi_baseline_seed42,slice,5769,0.7533368001386722,0.7580393294853938,0.9287670904435736,0.7384324834749764,0.6095163193079041,0.8071135430916553,0.8770949720670391
v3c_roi_baseline_seed42,patient_max_priority,463,0.8747300215982722,0.8319617122592091,0.9766069593250667,0.7547169811320755,0.7189542483660131,0.931098696461825,0.9230769230769231
v3c_focal_seed42,slice,8924,0.7404751232631107,0.7196101711678177,0.9100494222521258,0.7032216769788777,0.47628726287262874,0.807824100513992,0.8911076443057723
v3c_focal_seed42,patient_max_priority,561,0.8609625668449198,0.8200026242696798,0.9490182691524824,0.8691099476439791,0.6086956521739131,0.9050086355785838,0.897196261682243
v3c_dann_seed42,slice,8924,0.6085835948005379,0.6076367643401596,0.8250432735328289,0.6015279453156414,0.370174510840825,0.6743142144638404,0.7845303867403315
v3c_dann_seed42,patient_max_priority,561,0.6381461675579323,0.6404763488365077,0.8920609162235515,0.7069767441860465,0.4251968503937008,0.6711111111111111,0.7586206896551724
v3c_mh_both_seed42,slice,8924,0.7235544598834603,0.7092430561448609,0.8661067536981538,0.705097870509787,0.44063647490820074,0.7880321524263174,0.9032057267351385
v3c_mh_both_seed42,patient_max_priority,561,0.8163992869875223,0.7792731382691247,0.914917093346785,0.8229665071770335,0.5818181818181818,0.8772563176895307,0.8350515463917526
