condition,level,n_units,accuracy,macro_f1,macro_auc,f1_Normal,f1_Cyst,f1_Tumor,f1_Stone
v2_run1,slice,8924,0.735992828328104,0.7158402626777731,0.9148895840439596,0.6982794796475031,0.48260013131976365,0.8113458413355,0.8711355984083257
v2_run1,patient_mean_priority,561,0.8484848484848485,0.808202983165961,0.9492636641986749,0.8543689320388349,0.5915492957746479,0.8947368421052632,0.8921568627450981
v2_roi_run1,slice,6185,0.7172190784155215,0.7070457163803556,0.8957820393590427,0.6463104325699746,0.6194690265486725,0.8235294117647058,0.7388739946380697
v2_roi_run1,patient_mean_priority,480,0.8541666666666666,0.7962492721744193,0.9684814836627447,0.6666666666666666,0.7564102564102564,0.9343339587242027,0.8275862068965517
cbam_full_run1,slice,8924,0.6892649036306588,0.6501456041202118,0.8891522215667556,0.5961917268548916,0.44573643410852715,0.8014078787058345,0.7572463768115942
cbam_full_run1,patient_mean_priority,561,0.8074866310160428,0.7276930667613726,0.9201031773958767,0.7513227513227513,0.47058823529411764,0.8981636060100167,0.7906976744186046
cbam_roi_run1,slice,6185,0.6641875505254649,0.6506196323767078,0.8840808501802004,0.5203703703703704,0.5750943396226416,0.8081501831501832,0.6988636363636364
cbam_roi_run1,patient_mean_priority,480,0.8083333333333333,0.7042039905461004,0.9478939865812833,0.42990654205607476,0.7074829931972789,0.9279112754158965,0.7515151515151515
vit_full_run1,slice,8924,0.7167189601075751,0.6995570081897092,0.8764835503016459,0.68303946263644,0.48662259993704754,0.7945764688730136,0.833989501312336
vit_full_run1,patient_mean_priority,561,0.839572192513369,0.8060617705737358,0.941672390730534,0.8585365853658536,0.6125,0.8888888888888888,0.864321608040201
vit_roi_run1,slice,6185,0.686176232821342,0.6701832015538245,0.8913392882066874,0.5964360587002097,0.5889915628766573,0.8320111992533831,0.6632939853850478
vit_roi_run1,patient_mean_priority,480,0.7854166666666667,0.6905992397599577,0.9527390297921314,0.4966442953020134,0.6142857142857143,0.926829268292683,0.7246376811594203
