condition,metric,point,ci_low,ci_high
v3c_rn50_baseline_seed42,accuracy,0.8509719222462203,0.8185745140388769,0.8833693304535637
v3c_rn50_baseline_seed42,macro_f1,0.8445391167016048,0.8098154853152896,0.8771326240502407
v3c_rn50_baseline_seed42,f1_Normal,0.9306930693069307,0.8723267866884888,0.9734513274336283
v3c_rn50_baseline_seed42,f1_Cyst,0.5806451612903226,0.4806046511627907,0.6707336009695501
v3c_rn50_baseline_seed42,f1_Tumor,0.8832116788321168,0.85498260121596,0.9114003877295016
v3c_rn50_baseline_seed42,f1_Stone,0.9836065573770492,0.9572649572649573,1.0
v3c_roi_baseline_seed42,accuracy,0.8747300215982722,0.844438444924406,0.9028077753779697
v3c_roi_baseline_seed42,macro_f1,0.8319617122592091,0.7884947016357298,0.8707646464441331
v3c_roi_baseline_seed42,f1_Normal,0.7547169811320755,0.6521486349848332,0.8421052631578947
v3c_roi_baseline_seed42,f1_Cyst,0.7189542483660131,0.6308582468985153,0.7948795180722891
v3c_roi_baseline_seed42,f1_Tumor,0.931098696461825,0.9069702360291565,0.9518931673823139
v3c_roi_baseline_seed42,f1_Stone,0.9230769230769231,0.8702290076335878,0.966895559656932
v3c_focal_seed42,accuracy,0.8704103671706264,0.8401727861771058,0.9006479481641468
v3c_focal_seed42,macro_f1,0.8470485258958159,0.8086143511959012,0.8819942606600284
v3c_focal_seed42,f1_Normal,0.9148936170212766,0.845360824742268,0.9670506912442396
v3c_focal_seed42,f1_Cyst,0.6074074074074074,0.503701039168665,0.6993028443948689
v3c_focal_seed42,f1_Tumor,0.9052631578947369,0.8795588083035668,0.929476953044407
v3c_focal_seed42,f1_Stone,0.9606299212598425,0.9218716032608696,0.9916001111188277
v3c_dann_seed42,accuracy,0.6285097192224622,0.5853131749460043,0.673866090712743
v3c_dann_seed42,macro_f1,0.6554526353420866,0.6075671235643034,0.6992816736828708
v3c_dann_seed42,f1_Normal,0.6792452830188679,0.5675293217746048,0.7708333333333334
v3c_dann_seed42,f1_Cyst,0.424,0.341078318907081,0.4979942759543922
v3c_dann_seed42,f1_Tumor,0.6681715575620768,0.6164616671313075,0.7169853342858343
v3c_dann_seed42,f1_Stone,0.8503937007874016,0.7787610619469026,0.9130434782608695
v3c_mh_both_seed42,accuracy,0.8207343412526998,0.7861771058315334,0.8552915766738661
v3c_mh_both_seed42,macro_f1,0.7924715483677748,0.7488604050224403,0.8307225087787261
v3c_mh_both_seed42,f1_Normal,0.8269230769230769,0.7415681906237893,0.9
v3c_mh_both_seed42,f1_Cyst,0.5786163522012578,0.4805064935064935,0.6666666666666666
v3c_mh_both_seed42,f1_Tumor,0.8754578754578755,0.8449587046294283,0.9034641090003822
v3c_mh_both_seed42,f1_Stone,0.8888888888888888,0.8264372978799857,0.9423214285714285
