condition_A,condition_B,mean_A,mean_B,mean_diff (A-B),t_stat,p_value,sig_at_0.05,sig_after_Bonferroni
RN50_full,RN50_roi,0.6979504189789784,0.6345747138620592,0.06337570511691926,1.5440087048842464,0.19746577661612508,no,no
RN50_full,CBAM_full,0.6979504189789784,0.5880709856309354,0.10987943334804293,2.48135240662502,0.06811232633030465,no,no
RN50_full,CBAM_roi,0.6979504189789784,0.5150586603630931,0.1828917586158852,7.5068535475612626,0.00168504636593844,yes,yes
RN50_full,ViT_full,0.6979504189789784,0.677280409834541,0.020670009144437375,0.8545051220721334,0.44098312039364795,no,no
RN50_full,ViT_roi,0.6979504189789784,0.5755473111108863,0.12240310786809212,2.985597959896889,0.04051396355300834,yes,no
RN50_roi,CBAM_full,0.6345747138620592,0.5880709856309354,0.04650372823112368,0.7973880574044028,0.4698803560646691,no,no
RN50_roi,CBAM_roi,0.6345747138620592,0.5150586603630931,0.11951605349896592,3.17624620074135,0.03365587526800135,yes,no
RN50_roi,ViT_full,0.6345747138620592,0.677280409834541,-0.04270569597248188,-0.8482966938421307,0.44405366349592895,no,no
RN50_roi,ViT_roi,0.6345747138620592,0.5755473111108863,0.05902740275117287,1.956685899694964,0.12201751605296013,no,no
CBAM_full,CBAM_roi,0.5880709856309354,0.5150586603630931,0.07301232526784225,1.985258539465983,0.11808910180529608,no,no
CBAM_full,ViT_full,0.5880709856309354,0.677280409834541,-0.08920942420360556,-3.288297874600259,0.030263835023189398,yes,no
CBAM_full,ViT_roi,0.5880709856309354,0.5755473111108863,0.012523674520049188,0.16369134051308007,0.8779120345183941,no,no
CBAM_roi,ViT_full,0.5150586603630931,0.677280409834541,-0.1622217494714478,-9.453923449081348,0.0006982060527492548,yes,yes
CBAM_roi,ViT_roi,0.5150586603630931,0.5755473111108863,-0.06048865074779306,-1.1947592092028925,0.2981789284272878,no,no
ViT_full,ViT_roi,0.677280409834541,0.5755473111108863,0.10173309872365474,1.6724498271964596,0.16975231053108544,no,no
